2022-07-08 15:48:55.390557{'Count': 1, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 16:09:42.974171{'Count': 2, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 16:30:30.944795{'Count': 3, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 16:51:18.778605{'Count': 4, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 17:12:04.830811{'Count': 5, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 17:32:51.225023{'Count': 6, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 17:53:38.813763{'Count': 7, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-08 18:14:27.726157{'Count': 8, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 18:35:14.575007{'Count': 9, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 18:56:00.430635{'Count': 10, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 19:16:45.734537{'Count': 11, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 19:37:34.476838{'Count': 12, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 19:58:22.987874{'Count': 13, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-08 20:19:09.980989{'Count': 14, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
